ARDUINO_DATA,ZEPHYR
Setup Write to [0x3C] + ACK,Setup Write to [0x3C] + ACK
0x00 + ACK,0x00 + ACK
0xAE + ACK,0xAE + ACK
Setup Write to [0x3C] + ACK,Setup Write to [0x3C] + ACK
0x00 + ACK,0x00 + ACK
0xD5 + ACK,0xD5 + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x80 + ACK
0x80 + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0xA8 + ACK
0x00 + ACK,0x00 + ACK
0xA8 + ACK,0x1F + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0xD3 + ACK
0x1F + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x00 + ACK
0xD3 + ACK,0x40 + ACK
Setup Write to [0x3C] + ACK,Setup Write to [0x3C] + ACK
0x00 + ACK,0x00 + ACK
0x00 + ACK,0x8D + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x14 + ACK
0x40 + ACK,Setup Write to [0x3C] + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x20 + ACK
0x8D + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,Setup Write to [0x3C] + ACK
0x14 + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0xA1 + ACK
0x00 + ACK,0x00 + ACK
0x20 + ACK,0xC8 + ACK
Setup Write to [0x3C] + ACK,Setup Write to [0x3C] + ACK
0x00 + ACK,0x00 + ACK
0x00 + ACK,0xDA + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x02 + ACK
0xA1 + ACK,Setup Write to [0x3C] + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x81 + ACK
0xC8 + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0x8F + ACK
0x00 + ACK,Setup Write to [0x3C] + ACK
0xDA + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0xD9 + ACK
0x00 + ACK,0x00 + ACK
0x02 + ACK,0xF1 + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0xDB + ACK
0x81 + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0x40 + ACK
0x00 + ACK,Setup Write to [0x3C] + ACK
0x8F + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0xA4 + ACK
0x00 + ACK,0x00 + ACK
0xD9 + ACK,0xA6 + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x2E + ACK
0xF1 + ACK,Setup Write to [0x3C] + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0xAF + ACK
0xDB + ACK,Setup Write to [0x3C] + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x21 + ACK
0x40 + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x00 + ACK
0xA4 + ACK,0x7F + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x22 + ACK
0xA6 + ACK,0x00 + ACK
Setup Write to [0x3C] + ACK,0x00 + ACK
0x00 + ACK,0x00 + ACK
0x2E + ACK,0x03 + ACK
Setup Write to [0x3C] + ACK,Setup Write to [0x3C] + ACK
0x00 + ACK,0x40 + ACK
0xAF + ACK,Setup Write to [0x3C] + ACK
Setup Write to [0x3C] + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x21 + ACK,0xFF + ACK
Setup Write to [0x3C] + ACK,0x07 + ACK
0x00 + ACK,0xF7 + ACK
0x00 + ACK,0xF7 + ACK
Setup Write to [0x3C] + ACK,0xF7 + ACK
0x00 + ACK,0x67 + ACK
0x7F + ACK,0x0F + ACK
Setup Write to [0x3C] + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x22 + ACK,0xFF + ACK
Setup Write to [0x3C] + ACK,0xFF + ACK
0x00 + ACK,0x7F + ACK
0x00 + ACK,0x9F + ACK
Setup Write to [0x3C] + ACK,0xDF + ACK
0x00 + ACK,0xDF + ACK
0x03 + ACK,0x9F + ACK
Setup Write to [0x3C] + ACK,0x7F + ACK
0x40 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0x03 + ACK
0x00 + ACK,0xBF + ACK
0x00 + ACK,0xDF + ACK
0x00 + ACK,0xDF + ACK
0x00 + ACK,0x9F + ACK
0x00 + ACK,0x3F + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xDF + ACK
0x00 + ACK,0xDF + ACK
Setup Write to [0x3C] + ACK,0x13 + ACK
0x40 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xEF + ACK
0x00 + ACK,0xEF + ACK
0x00 + ACK,0x03 + ACK
0x00 + ACK,0xEF + ACK
0x00 + ACK,0xEF + ACK
0x00 + ACK,0xEF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xEF + ACK
Setup Write to [0x3C] + ACK,0xF7 + ACK
0x40 + ACK,0x77 + ACK
0x00 + ACK,0x77 + ACK
0x00 + ACK,0xA7 + ACK
0x00 + ACK,0x8F + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
0x00 + ACK,0xFF + ACK
